pid,name,create_time,Upload,Download,Upload Speed,Download Speed
2872,svchost.exe,2024-04-16 19:57:23.655301,17275,4540,0,0
6368,explorer.exe,2024-04-16 08:15:51.110846,162,1575,0,0
2840,svchost.exe,2024-04-16 19:57:23.648157,642,428,0,0
756,svchost.exe,2024-04-16 19:59:23.817535,1230,120,0,0
3900,Code.exe,2024-04-16 20:10:23.135547,110,120,0,0
2984,svchost.exe,2024-04-16 19:57:23.700689,55,60,0,0
