pid,name,cpu_percent,median_cpu_percent,quadratic_deviation,ram_usage,upload,download,upload_speed,median_network_rate,download_speed,Number of crypto API calls
3240,mc-fw-host.exe,45.45,61.29375,15.71443096707903,377.2734375,504,848,0,676.0,0,0
3240,mc-fw-host.exe,47.1375,60.6,15.48022077501012,354.52734375,504,848,0,676.0,0,0
3240,mc-fw-host.exe,44.8125,59.7875,15.309250683818584,348.171875,504,848,0,676.0,0,0
3240,mc-fw-host.exe,66.8,60.6,15.182597531308904,386.00390625,504,848,0,676.0,0,0
3240,mc-fw-host.exe,65.9375,61.29375,15.029843511748693,384.87890625,504,848,0,676.0,0,0
29592,Blur.exe,12.11875,12.0,4.409745092351015,530.2578125,0,0,0,0,0,5
29592,Blur.exe,13.13125,13.13125,4.375219232788335,539.98046875,0,0,0,0,0,5
29592,Blur.exe,14.23125,12.4375,4.398162341595036,539.47265625,0,0,0,0,0,5
29592,Blur.exe,13.0125,12.909375,4.135843748354427,542.16796875,0,0,0,0,0,5
3932,MemCompression,0.0,2.640625,1.594517637692848,405.95703125,0,0,0,0,0,0
2576,python.exe,12.05,11.775,0.48529707,91.98828125,0,0,0,0,0,2
2576,python.exe,10.325,9.9625,0.49943755,90.0625,0,0,0,0,0,2
2576,python.exe,11.6125,11.5375,0.581311658,91.1953125,0,0,0,0,0,2
5140,python.exe,10.775,10.2875,0.233907033,89.09765625,0,0,0,0,0,2
13432,brave.exe,0.6875,0.78125,0.29605039,32.23046875,105998,9112994,7240,655947,734434,2
6736,brave.exe,15.75,15.4375,4.360381548,424.8476563,0,0,0,,0,2
2996,brave.exe,10.7125,10.6375,3.726299372,328.0859375,0,0,0,,0,2
7964,brave.exe,2.85,2.84375,0.754569414,297.5039063,0,0,0,,0,1
2996,brave.exe,10.6375,10.275,3.836713184,330.046875,0,0,0,,0,2
6736,brave.exe,13.025,15.15,4.483715597,434.5859375,0,0,0,,0,1
7964,brave.exe,2.8125,2.8375,0.779551726,300.9257813,0,0,0,,0,2
12684,brave.exe,2.0375,2.0375,0.823435534,43.3828125,0,0,0,,0,2
2460,brave.exe,2.0125,1.6375,0.591144255,15.1171875,0,0,0,,0,2
2460,brave.exe,1.3375,1.475,0.61884469,15.12109375,0,0,0,,0,2
13432,brave.exe,0.425,0.75,0.344286302,32.2578125,54921,4904293,9423,585754,576331,2
12684,brave.exe,1.5875,2.0625,0.915198235,43.3984375,0,0,0,,0,2
2460,brave.exe,1.4,1.55625,0.642888626,15.12109375,0,0,0,,0,2
6736,brave.exe,16.25,14.9125,4.848562026,427.9140625,0,0,0,,0,2
2996,brave.exe,8.625,9.26875,4.358509358,325.1757813,0,0,0,,0,2
13432,brave.exe,0.7625,0.775,0.286665526,32.046875,106176,9113234,178,633072.5,240,2
7964,brave.exe,3.6125,2.90625,0.877477308,300.890625,0,0,0,,0
6736,brave.exe,14.8625,14.8625,4.661467993,423.9726563,0,0,0,,0,
2996,brave.exe,10.725,9.9125,4.197765584,326.3007813,0,0,0,,0,
7964,brave.exe,2.5625,2.8875,0.840595957,300.8867188,0,0,0,,0,
12684,brave.exe,2.0625,2.0625,0.876543777,43.4140625,0,0,0,,0,
7896,brave.exe,1.975,1.01875,0.544562571,143.6328125,0,0,0,,0,
13432,brave.exe,0.8,0.7875,0.317360136,32.25,74594,7100492,9038,610198,1142581,2
13432,brave.exe,0.7875,0.7875,0.305953105,32.2265625,98758,8378560,24164,633072.5,1278068,2
13120,brave.exe,50.4625,2.575,19.93525991,275.5820313,12794,18365,12739,15579.5,18311,2
13120,brave.exe,84.025,26.51875,32.85034616,274.2109375,13135,18691,286,333.5,260,2
13120,brave.exe,60.7875,55.625,36.26112191,262.3984375,15046,22934,1911,546,4243,2
13120,brave.exe,86.7625,61.4125,36.93335371,269.2304688,16968,24717,1690,608,987,2
13120,brave.exe,75.4125,76.575,36.06704477,347.5625,26981,42151,178,670,180,2
13120,brave.exe,22.95,75.4125,35.55897381,347.4882813,27091,42283,110,653,132,2
1456,chrome.exe,5.9125,3.65,0.18125,187.3671875,429510,2635694,333489,1532602,638071,2
1456,chrome.exe,7.925,5.55,1.044678978,172.859375,5021625,5097100,5021625,2093644,5097100,2
1456,chrome.exe,6.1,5.6625,0.919329003,174.78125,5197286,11246669,5197286,6106184.5,11246669,2
1456,chrome.exe,5.8625,5.6625,0.874029444,187.7304688,5385861,11802153,188575,2093644,555484,2
11980,VirtualBoxVM.exe,61.5875,51.8625,13.33004501,106.4140625,366811,4621345,11055,261675,507698,0
13120,brave.exe,50.4625,2.575,19.93525991,275.5820313,12794,18365,12739,15579.5,18311,2
13120,brave.exe,84.025,26.51875,32.85034616,274.2109375,13135,18691,286,333.5,260,2
13120,brave.exe,60.7875,55.625,36.26112191,262.3984375,15046,22934,1911,546,4243,2
13120,brave.exe,86.7625,61.4125,36.93335371,269.2304688,16968,24717,1690,608,987,2
13120,brave.exe,75.4125,76.575,36.06704477,347.5625,26981,42151,178,670,180,2
13120,brave.exe,22.95,75.4125,35.55897381,347.4882813,27091,42283,110,653,132,2
2576,python.exe,12.05,11.775,0.4852970701,91.98828125,0,0,0,0,0,2
2576,python.exe,10.325,9.9625,0.4994375499,90.0625,0,0,0,0,0,2
2576,python.exe,11.6125,11.5375,0.5813116581,91.1953125,0,0,0,0,0,2
5140,python.exe,10.775,10.2875,0.2339070328,89.09765625,0,0,0,0,0,2
1456,chrome.exe,5.9125,3.65,0.18125,187.3671875,429510,2635694,333489,1532602,638071,2
1456,chrome.exe,7.925,5.55,1.044678978,172.859375,5021625,5097100,5021625,2093644,5097100,2
1456,chrome.exe,6.1,5.6625,0.9193290033,174.78125,5197286,11246669,5197286,6106184.5,11246669,2
1456,chrome.exe,5.8625,5.6625,0.8740294441,187.7304688,5385861,11802153,188575,2093644,555484,2
11980,VirtualBoxVM.exe,50.1125,50.68125,9.99775627,102.4257813,443077,6802999,2225,145255.5,7551,0
11980,VirtualBoxVM.exe,60.2,50.7,9.488686351,105.90625,464997,7238043,1123,97825,1137,0
11980,VirtualBoxVM.exe,50.3375,50.525,0.5131187923,59.9609375,18971,30114,369,700,331,0
17028,GoW.exe,38.85,49.475,6.25183723,2082.433594,0,0,0,,0,0
17028,GoW.exe,43.0375,42.6375,5.544002777,2137.445313,0,0,0,,0,0
17028,GoW.exe,47.2125,44.40625,4.593786848,2146.480469,0,0,0,,0,0
17028,GoW.exe,51.525,43.4625,4.457404931,2153.054688,0,0,0,,0,0
17028,GoW.exe,59.7125,44.8125,6.675880149,1624.121094,0,0,0,,0,0
17028,GoW.exe,32.9375,45.45625,7.616909482,1628.503906,0,0,0,,0,0
17028,GoW.exe,29.5,42.05,8.826972791,1725.910156,0,0,0,,0,0
17028,GoW.exe,36.425,41.75,8.813427492,1353.226563,0,0,0,,0,0
2696,Telegram.exe,14.15,14.18125,0.551870045,351.765625,154128,4099171,34691,948829,895448,5
2696,Telegram.exe,15.975,14.1875,0.708190717,348.421875,392346,10076794,32224,929115,770261,5
2696,Telegram.exe,11.9625,13.675,1.042874814,347.3007813,943521,22730330,35557,873018,807456,5
2696,Telegram.exe,13.025,14.15,0.942447828,347.515625,732122,18234651,34439,891858,776400,5
2696,Telegram.exe,12.025,11.8125,0.588955535,347.25,267584,5763232,36666,832628,866980,5
2696,Telegram.exe,0.1625,0.125,0.081009259,93.83984375,14657,1943,2407,1248,792,5
2696,Telegram.exe,0,0.11875,0.07793831,93.8203125,9045,954,1488,992,0,5
2696,Telegram.exe,0.2125,0.11875,0.081248578,93.82421875,12250,1151,1488,1008,0,5
6736,brave.exe,19.4125,20.26875,9.580323803,394.6171875,0,0,0,,0,2
4608,python.exe,9.2125,9.3375,4.402922798,89.25,0,0,0,,0,2
2920,svchost.exe,7.2875,7.30625,3.444233304,44.51953125,0,0,0,,0,3
2920,svchost.exe,5.4375,5.5125,2.193996551,45.5390625,0,0,0,,0,3
16728,svchost.exe,0,5.18125,3.277193549,46.88671875,254564,10759,0,5313,0,3
7964,brave.exe,3.025,3.2125,1.522105632,297.8789063,0,0,0,,0,5
18344,dwm.exe,2.1,2.10625,0.992908886,93.3828125,0,0,0,,0,5
2460,brave.exe,2.0625,1.775,0.869047211,14.62890625,0,0,0,,0,2
12544,audiodg.exe,1.625,1.6875,0.79713027,49.7265625,0,0,0,,0,1
9948,conhost.exe,1.5125,1.41875,0.673171391,18.34375,0,0,0,,0,1
12684,brave.exe,1.3375,1.8625,0.977045575,43.27734375,0,0,0,,0,3
13432,brave.exe,0.725,0.90625,0.452116934,31.4921875,55,66,55,121,66,2
17608,explorer.exe,0.725,0.4125,0.320806276,136.8671875,0,0,0,,0,5
3240,mc-fw-host.exe,0.4125,0.43125,0.20386883,237.6210938,0,0,0,,0,0
13120,brave.exe,0,,0,126.3945313,0,0,0,,0,2
