pid,median_cpu_percent,quadratic_deviation,ram_usage,median_network_rate,Number of crypto API calls,Cryptojacker or not
363,51.8625,13.33004501,106.4140625,261675.0,0.0,no
429,0.11875,0.07793831,93.8203125,992.0,5.0,no
130,10.8875,7.642936137,713.5078125,556.5,2.0,yes
140,49.24375,13.04411892,2355.882813,840.0,3.0,yes
80,87.6375,11.48796306,2351.519531,719.0,0.0,yes
270,39.96875,1.5420252257584417,26.2109375,163038.0,5.0,no
106,71.75,12.71620114,2097.183594,618.5,5.0,yes
352,0.7875,0.305953105,32.2265625,633072.5,2.0,no
278,80.2375,17.90878864172297,547.88671875,174.0,0.0,no
21,88.3625,3.891480035,2366.300781,1061.0,5.0,yes
267,0.3,0.1025623281,284.3789063,3574.0,0.0,no
312,62.2625,16.51634193098615,356.52734375,252.0,0.0,no
389,14.18125,0.551870045,351.765625,948829.0,5.0,no
282,59.575,19.17954515250409,335.64453125,114.0,0.0,no
395,0.11875,0.07793831,93.8203125,992.0,5.0,no
295,61.29375,15.029843511748693,384.87890625,676.0,0.0,no
151,25.175,2.835638098,2294.710938,4953.5,5.0,yes
431,9.9125,4.197765584,326.3007813,0.0,0.0,no
427,0.225,0.106066017,94.16796875,372.0,5.0,no
88,87.475,11.81627106,2351.519531,719.0,0.0,yes
73,25.0,6.66112874,2358.246094,593.5,5.0,yes
56,24.9,2.094988067,2357.109375,448.0,5.0,yes
367,61.4125,36.93335371,269.2304688,608.0,2.0,no
193,24.3875,3.161545893,2092.429688,601.0,3.0,yes
70,24.375,4.980840542,2358.21875,601.0,5.0,yes
257,6.55,0.6861603108765613,57.66015625,21004.5,1.0,no
32,85.55,3.342779023,2366.292969,579.0,5.0,yes
384,43.4625,4.457404931,2153.054688,0.0,0.0,no
368,76.575,36.06704477,347.5625,670.0,2.0,no
208,59.675,10.35618996,2091.414063,528.0,3.0,yes
414,0.0,0.0,147.5039063,0.0,2.0,no
30,88.6375,3.089909154,2366.277344,581.0,5.0,yes
313,62.2875,16.278947485504926,383.0859375,676.0,0.0,no
366,55.625,36.26112191,262.3984375,546.0,2.0,no
176,46.75,10.81191537,2355.929688,840.0,3.0,yes
49,24.35,2.007394182,2352.214844,727.0,5.0,yes
33,86.0125,3.562424364,2366.292969,579.0,5.0,yes
291,61.29375,15.71443096707903,377.2734375,676.0,0.0,no
231,49.6875,3.493876091,1724.910156,601.0,5.0,yes
48,20.9125,9.85829459,2352.222656,841.5,5.0,yes
311,58.73125,17.10269916252011,336.51953125,228.0,0.0,no
266,0.3,0.1053268722,284.3789063,5390.0,0.0,no
251,74.9875,18.03866804,2363.835938,579.0,5.0,yes
416,20.26875,9.580323803,394.6171875,0.0,2.0,no
227,32.125,7.437032821,2369.078125,601.0,5.0,yes
64,24.8,1.692123018,2363.410156,603.0,5.0,yes
243,79.6,25.32230674,682.84375,581.0,5.0,yes
318,60.6,15.182597531308904,386.00390625,676.0,0.0,no
263,39.96875,1.5420252257584417,26.2109375,163038.0,5.0,no
128,10.8875,7.681973186,713.5078125,921.0,2.0,yes
342,14.9125,4.848562026,427.9140625,0.0,2.0,no
119,63.6,15.28112354,2362.929688,484.0,5.0,yes
211,59.7,7.946049814,2091.765625,528.0,3.0,yes
225,30.9375,8.10643503,2368.609375,601.0,5.0,yes
6,89.225,19.24213753,2358.523438,579.0,5.0,yes
287,58.73125,17.10269916252011,336.51953125,228.0,0.0,no
135,83.175,6.453776387,2363.414063,753.0,5.0,yes
341,1.55625,0.642888626,15.12109375,0.0,2.0,no
289,62.2875,16.278947485504926,383.0859375,676.0,0.0,no
364,2.575,19.93525991,275.5820313,15579.5,2.0,no
183,47.6625,7.545135813,2355.429688,813.0,3.0,yes
330,15.4375,4.360381548,424.8476563,0.0,2.0,no
357,76.575,36.06704477,347.5625,670.0,2.0,no
166,84.9125,15.25625682,2362.910156,60.0,5.0,yes
182,47.7625,7.623480542,2355.429688,840.0,3.0,yes
117,67.1125,16.61964901,2362.929688,434.0,5.0,yes
387,42.05,8.826972791,1725.910156,0.0,0.0,no
158,20.65,4.554883793,2359.175781,458.0,5.0,yes
376,5.6625,0.9193290033,174.78125,6106184.5,2.0,no
147,19.85625,5.31875,464.1171875,9306.0,5.0,yes
91,87.3375,11.95263666,2351.519531,719.0,0.0,yes
411,0.0,0.0,126.3945313,0.0,2.0,no
326,9.9625,0.49943755,90.0625,0.0,2.0,no
397,20.26875,9.580323803,394.6171875,0.0,2.0,no
249,82.925,20.3582137,2366.375,559.5,5.0,yes
53,25.0,2.154602546,2357.109375,448.0,5.0,yes
252,74.425,17.72234227,2363.835938,579.0,5.0,yes
12,86.975,20.08738527,2366.308594,525.0,5.0,yes
271,44.125,0.9281835238674,34.203125,4871.0,5.0,no
226,31.5375,6.640184787,2368.828125,601.0,5.0,yes
419,2.10625,0.992908886,93.3828125,0.0,5.0,no
276,78.6,18.08351105633435,489.296875,114.0,0.0,no
327,11.5375,0.581311658,91.1953125,0.0,2.0,no
380,50.525,0.5131187923,59.9609375,700.0,0.0,no
196,49.025,11.80429733,2354.832031,840.0,3.0,yes
409,0.4125,0.320806276,136.8671875,0.0,5.0,no
179,47.1,10.30414499,2355.898438,840.0,3.0,yes
36,87.025,4.095596948,2366.261719,579.0,5.0,yes
253,73.1625,17.53204928,2363.835938,579.0,5.0,yes
362,5.6625,0.874029444,187.7304688,2093644.0,2.0,no
127,11.6,7.697277552,713.5078125,2221.5,2.0,yes
273,50.5125,21.21916073076539,403.98828125,114.0,0.0,no
189,12.8375,5.28508469,872.2109375,301.5,3.0,yes
248,82.925,20.96872446,2366.375,579.0,5.0,yes
90,87.35,11.90854158,2351.519531,719.0,0.0,yes
72,23.775,5.59292658,2358.234375,601.0,5.0,yes
116,67.55,16.7348587,2362.929688,115.0,5.0,yes
340,2.0625,0.915198235,43.3984375,0.0,2.0,no
103,86.3,19.7781881,2354.050781,115.0,5.0,yes
24,88.55,4.01824817,2366.3125,579.0,5.0,yes
197,49.0625,12.16628778,2354.832031,840.0,3.0,yes
28,87.8625,2.926655097,2366.277344,581.0,5.0,yes
396,0.11875,0.081248578,93.82421875,1008.0,5.0,no
319,61.29375,15.029843511748693,384.87890625,676.0,0.0,no
118,63.8625,15.38680133,2362.929688,434.0,5.0,yes
377,5.6625,0.8740294441,187.7304688,2093644.0,2.0,no
104,71.95,13.44096106,2353.15625,753.0,5.0,yes
126,11.6,7.698013034,713.5078125,4251.0,2.0,yes
67,24.7875,1.671501267,2363.410156,603.0,5.0,yes
379,50.7,9.488686351,105.90625,97825.0,0.0,no
283,58.64375,18.69504735769262,339.25,114.0,0.0,no
350,1.01875,0.544562571,143.6328125,0.0,0.0,no
212,59.675,7.83662255,2091.765625,528.0,3.0,yes
280,82.1375,17.76980187221586,585.234375,201.0,0.0,no
3,89.15,20.13562008,2358.523438,579.0,5.0,yes
141,48.4125,8.762648634,2355.863281,840.0,3.0,yes
11,86.9,20.45282649,2366.308594,525.0,5.0,yes
145,46.53125,7.781207403,2090.667969,586.0,3.0,yes
65,24.8,1.685333478,2363.410156,603.0,5.0,yes
210,59.6875,7.991386306,2091.765625,528.0,3.0,yes
292,60.6,15.48022077501012,354.52734375,676.0,0.0,no
187,43.76875,6.492860404,2089.234375,511.5,3.0,yes
338,1.475,0.61884469,15.12109375,0.0,2.0,no
239,74.4,37.2,559.2539063,1153.0,5.0,yes
13,87.05,19.75733076,2366.308594,525.0,5.0,yes
25,88.775,3.923908064,2366.265625,579.0,5.0,yes
83,87.5875,11.62847675,2351.519531,719.0,0.0,yes
423,1.8625,0.977045575,43.27734375,0.0,3.0,no
16,88.05,2.747047015,2366.277344,532.5,5.0,yes
255,7.275,3.285406758598461,4881.8828125,0.0,0.0,no
161,87.15,19.88388787,2362.910156,57.5,5.0,yes
