
ListDLLs v3.1 - List loaded DLLs
Copyright (C) 1997-2011 Mark Russinovich
Sysinternals - www.sysinternals.com

------------------------------------------------------------------------------
msedge.exe pid: 2332
Command line: "C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --no-startup-window

Base                Size      Path
0x00000000e9610000  0x33000   C:\Windows\SYSTEM32\DEVOBJ.dll
0x00000000e9ab0000  0x67000   C:\Windows\System32\WINTRUST.dll
0x00000000e9440000  0x12000   C:\Windows\SYSTEM32\MSASN1.dll
0x00000000e0880000  0x24000   C:\Windows\system32\edputil.dll
0x00000000d3bf0000  0x11d000  C:\Windows\System32\Windows.Security.Authentication.Web.Core.dll
0x00000000e2790000  0x10a000  C:\Windows\SYSTEM32\WINHTTP.dll
0x00000000cf3e0000  0x6d000   C:\Windows\System32\Windows.Internal.UI.Shell.WindowTabManager.dll
0x00000000e5160000  0x16000   C:\Windows\SYSTEM32\usermgrcli.dll
0x00000000db9e0000  0x7f000   C:\Windows\System32\OneCoreCommonProxyStub.dll
0x00000000e4420000  0xae000   C:\Windows\SYSTEM32\mscms.dll
0x00000000e4400000  0x11000   C:\Windows\SYSTEM32\ColorAdapterClient.dll
0x00000000e1d50000  0x2bc000  C:\Windows\System32\iertutil.dll
0x00000000e2010000  0xc3000   C:\Windows\System32\Windows.Web.dll
0x00000000db190000  0xc000    C:\Windows\SYSTEM32\Secur32.dll
0x00000000d37f0000  0xd000    C:\Windows\SYSTEM32\LINKINFO.dll
0x00000000d9310000  0x19000   C:\Windows\SYSTEM32\netapi32.dll
0x00000000da100000  0x51000   C:\Windows\System32\vaultcli.dll
0x00000000e9210000  0x18000   C:\Windows\SYSTEM32\CRYPTSP.dll
0x00000000e8940000  0x34000   C:\Windows\system32\rsaenh.dll
0x00000000d7300000  0x52000   C:\Windows\System32\MicrosoftAccountTokenProvider.dll
0x00000000e35c0000  0x54000   C:\Windows\System32\usermgrproxy.dll
0x00000000e9010000  0x6a000   C:\Windows\system32\mswsock.dll
0x00000000d3820000  0x15b000  C:\Windows\System32\wpnapps.dll
0x00000000e7620000  0x2a000   C:\Windows\System32\RMCLIENT.dll
0x00000000e5460000  0x36000   C:\Windows\System32\XmlLite.dll
0x00000000a7ba0000  0x787000  C:\Program Files (x86)\Microsoft\Edge\Application\122.0.2365.80\ffmpeg.dll
0x00000000cfcd0000  0x51000   C:\Windows\SYSTEM32\capauthz.dll
0x00000000e0e80000  0x11000   C:\Windows\SYSTEM32\windows.staterepositorycore.dll
0x00000000d9e30000  0xe9000   C:\Windows\System32\Windows.ApplicationModel.dll
0x00000000e3620000  0x102000  C:\Windows\System32\AppXDeploymentClient.dll
0x00000000c8750000  0x15000   C:\Windows\System32\Windows.System.UserProfile.DiagnosticsSettings.dll
0x00000000db500000  0x87000   C:\Windows\System32\Windows.Devices.Enumeration.dll
0x00000000cfe30000  0x42000   C:\Windows\System32\CapabilityAccessManagerClient.dll
0x00000000d6b10000  0x7d000   C:\Windows\System32\Geolocation.dll
0x00000000e89d0000  0x8a000   C:\Windows\System32\msvcp110_win.dll
0x00000000cce80000  0x53000   C:\Windows\System32\BiWinrt.dll
0x00000000b9660000  0xd000    C:\Windows\System32\LocationFrameworkPS.dll
0x00000000e4320000  0x65000   C:\Windows\SYSTEM32\wevtapi.dll
0x00000000d6380000  0x246000  C:\Program Files (x86)\Microsoft\Edge\Application\122.0.2365.80\telclient.dll
0x00000000d8f00000  0x1e4000  C:\Windows\SYSTEM32\dbghelp.dll
0x00000000c8160000  0x33c000  C:\Program Files (x86)\Microsoft\Edge\Application\122.0.2365.80\oneds.dll
0x00000000a03a0000  0x12000   C:\Windows\System32\Windows.System.Diagnostics.Telemetry.PlatformTelemetryClient.dll
0x00000000c8a80000  0x16000   C:\Windows\System32\BitsProxy.dll
0x00000000d1f80000  0xa9000   C:\Windows\system32\twinapi.dll
0x00000000d16e0000  0x3e000   C:\Windows\system32\dataexchange.dll
0x00000000e6390000  0x263000  C:\Windows\system32\d3d11.dll
0x00000000e5be0000  0x1e3000  C:\Windows\system32\dcomp.dll
0x00000000e8200000  0xf3000   C:\Windows\system32\dxgi.dll
0x00000000cc650000  0x2f5000  C:\Windows\SYSTEM32\UIAutomationCore.DLL
0x00000000bb4a0000  0x28000   C:\Windows\System32\Windows.System.Profile.RetailInfo.dll
0x00000000e7410000  0x2f000   C:\Windows\SYSTEM32\dwmapi.dll
0x00000000cee10000  0xd000    C:\Windows\SYSTEM32\atlthunk.dll
0x00000000d18a0000  0x66000   C:\Windows\SYSTEM32\OLEACC.dll
0x00000000db390000  0x9d000   C:\Windows\system32\directmanipulation.dll
0x00000000cebd0000  0xe4000   C:\Windows\System32\ShellCommonCommonProxyStub.dll
0x00000000cb280000  0x8c000   C:\Windows\System32\MicrosoftAccountWAMExtension.dll
0x00000000e8560000  0x96000   C:\Windows\System32\FirewallAPI.dll
0x00000000e8520000  0x36000   C:\Windows\System32\fwbase.dll
0x00000000e0b70000  0x4f000   C:\Windows\System32\FWPolicyIOMgr.dll
0x00000000cff60000  0x7d000   C:\Windows\SYSTEM32\ntshrui.dll
0x00000000e0c10000  0x28000   C:\Windows\SYSTEM32\srvcli.dll
0x00000000d20b0000  0x12000   C:\Windows\SYSTEM32\cscapi.dll
0x00000000e3f70000  0xa1000   C:\Windows\SYSTEM32\policymanager.dll
0x00000000cf5c0000  0x17e000  C:\Windows\System32\TaskFlowDataEngine.dll
0x00000000d44f0000  0x4d4000  C:\Windows\System32\cdp.dll
0x00000000e6ce0000  0x141000  C:\Windows\System32\dsreg.dll
